str_ui_videoroom_playercard_name,昵称
str_live_gift_name_14,小妖
str_live_gift_detail_14,可爱的小妖，送给主播增加499点星耀，你获得499点财富，并提升你们之间的亲密度499点。
str_live_gift_name_15,点卷
str_live_gift_detail_15,一张张粉嫩的点卷，送给主播增加1点星耀，你获得1点财富，并提升你们之间的亲密度1点。
str_live_gift_name_16,紫罗兰
str_live_gift_detail_16,绽放的紫罗兰，需要消耗您的个人积分。送给您的主播，可为主播增加1点人气
str_fans_sign_name_1,心爱依然
str_fans_sign_name_2,爱无限
str_fans_sign_name_3,君临天下
str_live_gift_name_17,七夕情书
str_live_gift_detail_17,浪漫的七夕浪漫爱，送给主播增加9点星耀，你获得9点财富，并提升你们之间的亲密度9点。
str_live_gift_name_18,基情肥皂
str_live_gift_detail_18,满满的肥皂都是爱，我丢~送给主播增加199点星耀，你获得199点财富，并提升你们之间的亲密度199点。
str_videoroom_star_anchor_url,http://x5.qq.com/act/a20141012star/index.htm
str_live_gift_name_19,壕令
str_live_gift_detail_19,壕之所向，万众归心。在斗舞大赛中使用，可以为主播激活双倍数值加成效果哦~送给主播增加998点星耀，你获得998点财富，并提升你们之间的亲密度998点。
str_live_gift_name_20,钻戒
str_live_gift_detail_20,高雅脱俗的钻戒，送给主播增加998点星耀，你获得998点财富，并提升你们之间的亲密度998点。
str_live_gift_name_21,礼花弹
str_live_gift_detail_21,为主播献上你的祝福。一次性献上多个礼物会在礼物信息区显示多条送礼记录。送给主播增加699点星耀，你获得699点财富，并提升你们之间的亲密度699点。
str_fans_sign_name_4,挚爱无双
str_live_gift_name_22,张嘴吃药
str_live_gift_detail_22,没吃药的你萌萌哒~张嘴~吃~药~送给主播增加199点星耀，你获得199点财富，并提升你们之间的亲密度199点。
str_live_gift_name_23,荧光棒
str_live_gift_name_24,鼓掌
str_live_gift_name_25,V587
str_live_gift_name_26,么么哒
str_live_gift_name_27,铭牌
str_live_gift_detail_23,挥动手中的荧光棒，送给主播~不会增加星耀、你的财富值以及你们之间的亲密度
str_live_gift_detail_24,把你的掌声，送给主播~不会增加星耀、你的财富值以及你们之间的亲密度
str_live_gift_detail_25,威武霸气，千秋万载，一统江湖，送给主播~不会增加星耀、你的财富值以及你们之间的亲密度
str_live_gift_detail_26,给每一个我爱的人，深深地一个吻。送给主播增加9点星耀，你获得9点财富，并提升你们之间的亲密度9点。
str_live_gift_detail_27,心为他动，声为他唱，一切只为了和他相伴。送给主播增加199星耀，你获得199点财富，并提升你们之间的亲密度199点。
